empresa,codigo_gestor,modelo,total_rateado,group_forecast,diff
1001,,CENTRIFUGA,0,,
1001,,LCA 12,0,,
1001,,LCS 10,0,,
1001,,LCS 13,0,,
1001,,LCS 20,0,,
1001,101,ACQUA ELETRONICO,0,,
1001,101,BEB PREMIUM,0,,
1001,101,CENTRIFUGA,0,,
1001,101,COOK 60,0,,
1001,101,COOK 80,0,,
1001,101,LCA 12,0,,
1001,101,LCS 10,0,0.0,0.0
1001,101,LCS 15,0,,
1001,101,LCS 20,0,,
1001,101,LCT 6,0,,
1001,101,PUR PREMIUM,0,,
1001,102,ACQUA ELETRONICO,0,,
1001,102,BEB PREMIUM,0,,
1001,102,CENTRIFUGA,0,,
1001,102,COOK 60,0,,
1001,102,COOK 80,0,,
1001,102,FILTRO,0,,
1001,102,LCA 12,1634,1634.0,0.0
1001,102,LCA 15,0,,
1001,102,LCS 10,0,,
1001,102,LCS 15,0,,
1001,102,LCS 20,0,,
1001,102,LCT 6,0,,
1001,102,PUR PREMIUM,0,,
1001,104,ACQUA ELETRONICO,0,,
1001,104,BEB PREMIUM,0,,
1001,104,CENTRIFUGA,30,30.0,0.0
1001,104,COOK 60,0,,
1001,104,COOK 80,0,,
1001,104,FILTRO,0,,
1001,104,LCA 12,0,,
1001,104,LCS 10,0,,
1001,104,LCS 15,0,,
1001,104,LCS 20,0,,
1001,104,LCT 6,0,,
1001,104,PUR PREMIUM,0,,
1001,201,LCS 10,0,,
1001,201,LCS 15,0,,
1001,201,LCS 20,0,,
1001,201,PUR PREMIUM,0,,
1001,204,ACQUA ELETRONICO,0,,
1001,204,CENTRIFUGA,0,,
1001,204,COOK 60,0,,
1001,204,COOK 80,0,,
1001,204,"LCA 11,5",0,,
1001,204,LCA 12,0,,
1001,204,LCA 15,0,,
1001,204,LCS 10,0,,
1001,204,LCS 15,0,,
1001,204,LCS 20,0,,
1001,204,LCT 6,0,,
1001,301,COOK 60,0,,
1001,301,COOK 80,0,,
1001,301,LCA 12,0,,
1001,301,LCS 10,0,,
1001,301,LCS 15,0,,
1001,301,LCS 20,0,,
1001,302,CENTRIFUGA,0,,
1001,302,COOK 60,0,,
1001,302,COOK 80,0,,
1001,302,LCA 12,0,,
1001,302,LCS 10,949,949.0,0.0
1001,302,LCS 15,0,,
1001,302,LCS 20,0,,
1001,303,LCA 12,0,,
1001,303,LCA 15,0,,
1001,401,ACQUA ELETRONICO,0,,
1001,401,BEB PREMIUM,0,,
1001,401,CENTRIFUGA,0,,
1001,401,COOK 60,0,,
1001,401,COOK 80,0,,
1001,401,FILTRO,0,,
1001,401,LCA 12,0,,
1001,401,LCA 15,0,,
1001,401,LCS 10,0,,
1001,401,LCS 15,0,,
1001,401,LCS 20,0,,
1001,401,LCT 6,700,700.0,0.0
1001,401,PUR PREMIUM,0,,
1001,402,ACQUA ELETRONICO,0,,
1001,402,BEB PREMIUM,0,,
1001,402,CENTRIFUGA,0,,
1001,402,COOK 60,0,,
1001,402,COOK 80,0,,
1001,402,LCA 12,0,,
1001,402,LCA 15,0,,
1001,402,LCM 6,700,700.0,0.0
1001,402,LCS 10,0,,
1001,402,LCS 15,0,,
1001,402,LCS 20,0,,
1001,402,LCT 6,0,,
1001,402,PUR PREMIUM,0,,
1001,405,BEB PREMIUM,0,,
1001,405,LCA 12,0,,
1001,405,LCS 10,0,,
1001,405,LCS 15,0,,
1001,405,LCS 20,0,,
1001,405,PUR PREMIUM,0,,
1001,501,ACQUA ELETRONICO,0,,
1001,501,CENTRIFUGA,0,,
1001,501,COOK 60,0,,
1001,501,COOK 80,0,,
1001,501,FILTRO,0,,
1001,501,LAS 13,900,,
1001,501,LCA 12,0,,
1001,501,LCA 15,0,,
1001,501,LCS 10,0,,
1001,501,LCS 12,0,,
1001,501,LCS 20,0,,
1001,501,LCT 6,0,,
1001,601,ACQUA ELETRONICO,0,,
1001,601,BEB PREMIUM,0,,
1001,601,BEBEDOURO PRO,0,,
1001,601,CENTRIFUGA,1500,1500.0,0.0
1001,601,COOK 60,0,,
1001,601,COOK 80,0,,
